002100,SNES_INIDISP
002101,SNES_OBJSEL
002102,SNES_OAMADDL
002103,SNES_OAMADDH
002104,SNES_OAMDATA
002105,SNES_BGMODE
002106,SNES_MOSAIC
002107,SNES_BG1SC
002108,SNES_BG2SC
002109,SNES_BG3SC
00210A,SNES_BG4SC
00210B,SNES_BG12NBA
00210C,SNES_BG34NBA
00210D,SNES_BG1HOFS
00210E,SNES_BG1VOFS
00210F,SNES_BG2HOFS
002110,SNES_BG2VOFS
002111,SNES_BG3HOFS
002112,SNES_BG3VOFS
002113,SNES_BG4HOFS
002114,SNES_BG4VOFS
002115,SNES_VMAINC
002116,SNES_VMADDL
002117,SNES_VMADDH
002118,SNES_VMDATAL
002119,SNES_VMDATAH
00211A,SNES_M7SEL
00211B,SNES_M7A
00211C,SNES_M7B
00211D,SNES_M7C
00211E,SNES_M7D
00211F,SNES_M7X
002120,SNES_M7Y
002121,SNES_CGADD
002122,SNES_CGDATA
002123,SNES_W12SEL
002124,SNES_W34SEL
002125,SNES_WOBJSEL
002126,SNES_WH0
002127,SNES_WH1
002128,SNES_WH2
002129,SNES_WH3
00212A,SNES_WBGLOG
00212B,SNES_WOBJLOG
00212C,SNES_TM
00212D,SNES_TS
00212E,SNES_TMW
00212F,SNES_TSW
002130,SNES_CGSWSEL
002131,SNES_CGADSUB
002132,SNES_COLDATA
002133,SNES_SETINI
002134,SNES_MPYL
002135,SNES_MPYM
002136,SNES_MPYH
002137,SNES_SLHV
002138,SNES_ROAMDATA
002139,SNES_RVMDATAL
00213A,SNES_RVMDATAH
00213B,SNES_RCGDATA
00213C,SNES_OPHCT
00213D,SNES_OPVCT
00213E,SNES_STAT77
00213F,SNES_STAT78
002140,SNES_APUIO0
002141,SNES_APUIO1
002142,SNES_APUIO2
002143,SNES_APUIO3
002180,SNES_WMDATA
002181,SNES_WMADDL
002182,SNES_WMADDM
002183,SNES_WMADDH
004016,SNES_JOY1
004017,SNES_JOY2
004200,SNES_NMITIMEN
004201,SNES_WRIO
004202,SNES_WRMPYA
004203,SNES_WRMPYB
004204,SNES_WRDIVL
004205,SNES_WRDIVH
004206,SNES_WRDIVB
004207,SNES_HTIMEL
004208,SNES_HTIMEH
004209,SNES_VTIMEL
00420A,SNES_VTIMEH
00420B,SNES_MDMAEN
00420C,SNES_HDMAEN
00420D,SNES_MEMSEL
004210,SNES_RDNMI
004211,SNES_TIMEUP
004212,SNES_HVBJOY
004213,SNES_RDIO
004214,SNES_RDDIVL
004215,SNES_RDDIVH
004216,SNES_RDMPYL
004217,SNES_RDMPYH
004218,SNES_CNTRL1L
004219,SNES_CNTRL1H
00421A,SNES_CNTRL2L
00421B,SNES_CNTRL2H
00421C,SNES_CNTRL3L
00421D,SNES_CNTRL3H
00421E,SNES_CNTRL4L
00421F,SNES_CNTRL4H
004300,SNES_DMA0PARAM
004301,SNES_DMA0REG
004302,SNES_DMA0ADDRL
004303,SNES_DMA0ADDRM
004304,SNES_DMA0ADDRH
004305,SNES_DMA0CNTL
004306,SNES_DMA0CNTH
004307,SNES_HDMA0BANK
004308,SNES_DMA0IDXL
004309,SNES_DMA0IDXH
00430A,SNES_HDMA0LINES
004310,SNES_DMA1PARAM
004311,SNES_DMA1REG
004312,SNES_DMA1ADDRL
004313,SNES_DMA1ADDRM
004314,SNES_DMA1ADDRH
004315,SNES_DMA1CNTL
004316,SNES_DMA1CNTH
004317,SNES_HDMA1BANK
004318,SNES_DMA1IDXL
004319,SNES_DMA1IDXH
00431A,SNES_HDMA1LINES
004320,SNES_DMA2PARAM
004321,SNES_DMA2REG
004322,SNES_DMA2ADDRL
004323,SNES_DMA2ADDRM
004324,SNES_DMA2ADDRH
004325,SNES_DMA2CNTL
004326,SNES_DMA2CNTH
004327,SNES_HDMA2BANK
004328,SNES_DMA2IDXL
004329,SNES_DMA2IDXH
00432A,SNES_HDMA2LINES
004330,SNES_DMA3PARAM
004331,SNES_DMA3REG
004332,SNES_DMA3ADDRL
004333,SNES_DMA3ADDRM
004334,SNES_DMA3ADDRH
004335,SNES_DMA3CNTL
004336,SNES_DMA3CNTH
004337,SNES_HDMA3BANK
004338,SNES_DMA3IDXL
004339,SNES_DMA3IDXH
00433A,SNES_HDMA3LINES
004340,SNES_DMA4PARAM
004341,SNES_DMA4REG
004342,SNES_DMA4ADDRL
004343,SNES_DMA4ADDRM
004344,SNES_DMA4ADDRH
004345,SNES_DMA4CNTL
004346,SNES_DMA4CNTH
004347,SNES_HDMA4BANK
004348,SNES_DMA4IDXL
004349,SNES_DMA4IDXH
00434A,SNES_HDMA4LINES
004350,SNES_DMA5PARAM
004351,SNES_DMA5REG
004352,SNES_DMA5ADDRL
004353,SNES_DMA5ADDRM
004354,SNES_DMA5ADDRH
004355,SNES_DMA5CNTL
004356,SNES_DMA5CNTH
004357,SNES_HDMA5BANK
